damage taken,direction,encounter,month of departure
92%,southbound,nessie,10/1403
25%,northbound,sharks,10/1403
100%+,southbound,unknown,10/1403
100%+,northbound,unknown,10/1403
12%,northbound,sharks,10/1403
16%,northbound,harpy,10/1403
16%,northbound,pirates,10/1403
79%,northbound,merpeople,10/1403
12%,southbound,harpy,10/1403
7%,northbound,harpy,10/1403
18%,southbound,pirates,10/1403
23%,southbound,sharks,10/1403
46%,northbound,merpeople,10/1403
38%,northbound,merpeople,10/1403
19%,southbound,pirates,10/1403
26%,southbound,merpeople,10/1403
38%,southbound,kraken,10/1403
100%+,northbound,unknown,10/1403
22%,southbound,sharks,10/1403
45%,southbound,kraken,10/1403
13%,northbound,pirates,10/1403
22%,northbound,pirates,10/1403
6%,northbound,harpy,10/1403
66%,northbound,kraken,10/1403
20%,northbound,sharks,10/1403
52%,northbound,merpeople,10/1403
54%,southbound,merpeople,10/1403
83%,southbound,water elemental,10/1403
100%+,southbound,unknown,10/1403
26%,northbound,crabmonsters,10/1403
23%,southbound,sharks,10/1403
10%,northbound,harpy,10/1403
100%+,northbound,unknown,10/1403
100%+,southbound,unknown,10/1403
74%,northbound,water elemental,10/1403
99%,northbound,merpeople,10/1403
2%,southbound,crabmonsters,10/1403
100%+,northbound,unknown,10/1403
23%,southbound,merpeople,10/1403
17%,southbound,pirates,10/1403
17%,northbound,harpy,10/1403
24%,southbound,crabmonsters,10/1403
100%+,northbound,unknown,10/1403
9%,southbound,harpy,10/1403
100%+,northbound,unknown,10/1403
15%,southbound,pirates,10/1403
41%,northbound,kraken,10/1403
13%,southbound,sharks,10/1403
100%+,southbound,unknown,10/1403
15%,southbound,pirates,11/1403
47%,southbound,kraken,11/1403
13%,southbound,harpy,11/1403
43%,northbound,kraken,11/1403
100%+,southbound,unknown,11/1403
80%,southbound,water elemental,11/1403
24%,northbound,crabmonsters,11/1403
13%,southbound,pirates,11/1403
100%+,northbound,unknown,11/1403
83%,northbound,water elemental,11/1403
37%,southbound,sharks,11/1403
42%,northbound,kraken,11/1403
30%,northbound,merpeople,11/1403
17%,southbound,merpeople,11/1403
17%,northbound,pirates,11/1403
100%+,northbound,unknown,11/1403
26%,southbound,pirates,11/1403
21%,southbound,pirates,11/1403
40%,southbound,pirates,11/1403
49%,southbound,merpeople,11/1403
100%+,southbound,unknown,11/1403
26%,northbound,sharks,11/1403
100%+,northbound,unknown,11/1403
100%+,southbound,unknown,11/1403
19%,northbound,pirates,11/1403
100%+,northbound,unknown,11/1403
28%,southbound,sharks,11/1403
29%,southbound,sharks,11/1403
9%,northbound,merpeople,11/1403
47%,northbound,merpeople,11/1403
54%,northbound,kraken,11/1403
65%,northbound,merpeople,11/1403
100%+,southbound,unknown,11/1403
100%+,northbound,unknown,11/1403
17%,southbound,sharks,11/1403
100%+,southbound,unknown,11/1403
34%,southbound,kraken,11/1403
42%,northbound,pirates,11/1403
11%,southbound,pirates,11/1403
14%,southbound,pirates,11/1403
52%,southbound,kraken,11/1403
24%,northbound,sharks,11/1403
38%,northbound,crabmonsters,11/1403
76%,southbound,water elemental,11/1403
29%,northbound,sharks,11/1403
13%,northbound,harpy,11/1403
13%,northbound,harpy,11/1403
13%,northbound,harpy,11/1403
18%,northbound,pirates,11/1403
56%,southbound,kraken,11/1403
69%,northbound,kraken,11/1403
55%,southbound,merpeople,11/1403
23%,southbound,pirates,11/1403
20%,southbound,harpy,11/1403
20%,northbound,pirates,11/1403
28%,southbound,sharks,11/1403
19%,northbound,pirates,11/1403
39%,southbound,pirates,11/1403
29%,southbound,pirates,11/1403
12%,northbound,pirates,11/1403
74%,northbound,water elemental,11/1403
33%,northbound,sharks,11/1403
30%,southbound,pirates,11/1403
77%,northbound,water elemental,11/1403
21%,northbound,pirates,11/1403
81%,northbound,water elemental,11/1403
23%,northbound,sharks,11/1403
82%,southbound,water elemental,11/1403
26%,northbound,merpeople,11/1403
17%,northbound,pirates,11/1403
74%,northbound,water elemental,11/1403
16%,northbound,harpy,11/1403
15%,northbound,pirates,11/1403
61%,southbound,merpeople,11/1403
100%+,southbound,unknown,11/1403
58%,northbound,merpeople,11/1403
33%,northbound,pirates,11/1403
63%,southbound,kraken,11/1403
58%,northbound,merpeople,11/1403
56%,southbound,kraken,11/1403
100%+,northbound,unknown,11/1403
79%,southbound,water elemental,11/1403
35%,southbound,pirates,11/1403
29%,southbound,sharks,11/1403
46%,northbound,sharks,11/1403
66%,northbound,kraken,11/1403
100%+,northbound,unknown,11/1403
100%+,southbound,unknown,11/1403
22%,southbound,pirates,11/1403
33%,northbound,sharks,11/1403
22%,southbound,sharks,11/1403
23%,northbound,pirates,11/1403
50%,southbound,pirates,11/1403
61%,northbound,merpeople,11/1403
93%,southbound,crabmonsters,11/1403
83%,southbound,nessie,11/1403
100%+,southbound,unknown,11/1403
100%+,southbound,unknown,11/1403
15%,northbound,pirates,11/1403
33%,southbound,sharks,11/1403
15%,northbound,sharks,11/1403
0%,northbound,crabmonsters,11/1403
48%,northbound,crabmonsters,11/1403
100%+,northbound,unknown,11/1403
19%,southbound,harpy,11/1403
12%,northbound,harpy,11/1403
23%,northbound,crabmonsters,11/1403
56%,southbound,kraken,11/1403
10%,southbound,harpy,11/1403
62%,southbound,kraken,11/1403
100%+,southbound,unknown,11/1403
17%,northbound,pirates,11/1403
20%,northbound,pirates,11/1403
81%,southbound,water elemental,11/1403
100%+,northbound,unknown,11/1403
90%,southbound,merpeople,11/1403
23%,northbound,sharks,11/1403
18%,northbound,pirates,11/1403
78%,northbound,water elemental,11/1403
8%,northbound,merpeople,11/1403
76%,southbound,water elemental,11/1403
81%,northbound,nessie,11/1403
14%,northbound,harpy,11/1403
25%,northbound,crabmonsters,11/1403
20%,northbound,harpy,11/1403
85%,southbound,water elemental,11/1403
85%,southbound,water elemental,11/1403
7%,northbound,crabmonsters,11/1403
37%,northbound,merpeople,11/1403
13%,southbound,sharks,11/1403
15%,northbound,sharks,11/1403
22%,northbound,pirates,11/1403
100%+,northbound,unknown,11/1403
52%,southbound,merpeople,11/1403
47%,northbound,merpeople,11/1403
81%,southbound,water elemental,11/1403
42%,northbound,crabmonsters,11/1403
100%+,northbound,unknown,11/1403
100%+,southbound,unknown,11/1403
37%,northbound,pirates,11/1403
23%,northbound,pirates,11/1403
42%,northbound,crabmonsters,11/1403
14%,northbound,pirates,11/1403
88%,southbound,demon whale,11/1403
12%,northbound,pirates,11/1403
11%,northbound,pirates,11/1403
100%+,southbound,unknown,11/1403
10%,southbound,pirates,11/1403
26%,northbound,merpeople,11/1403
80%,northbound,water elemental,11/1403
15%,northbound,sharks,11/1403
67%,southbound,kraken,11/1403
5%,northbound,crabmonsters,11/1403
44%,southbound,kraken,11/1403
49%,southbound,kraken,11/1403
6%,northbound,crabmonsters,11/1403
100%+,southbound,unknown,11/1403
10%,southbound,harpy,11/1403
12%,northbound,harpy,11/1403
79%,northbound,merpeople,11/1403
20%,southbound,harpy,11/1403
83%,northbound,nessie,11/1403
17%,northbound,harpy,11/1403
81%,northbound,water elemental,11/1403
53%,northbound,kraken,11/1403
20%,southbound,harpy,11/1403
84%,northbound,water elemental,11/1403
10%,southbound,pirates,11/1403
11%,southbound,pirates,11/1403
16%,northbound,sharks,11/1403
100%+,southbound,unknown,11/1403
55%,southbound,kraken,11/1403
19%,northbound,pirates,11/1403
15%,northbound,harpy,11/1403
47%,southbound,kraken,11/1403
33%,northbound,sharks,11/1403
45%,southbound,merpeople,11/1403
17%,northbound,harpy,11/1403
77%,southbound,water elemental,11/1403
100%+,southbound,unknown,11/1403
32%,northbound,sharks,11/1403
100%+,northbound,unknown,12/1403
28%,northbound,sharks,12/1403
33%,southbound,sharks,12/1403
12%,northbound,pirates,12/1403
78%,northbound,crabmonsters,12/1403
19%,southbound,sharks,12/1403
27%,northbound,sharks,12/1403
37%,southbound,pirates,12/1403
86%,northbound,nessie,12/1403
73%,southbound,nessie,12/1403
37%,northbound,merpeople,12/1403
24%,northbound,harpy,12/1403
100%+,northbound,unknown,12/1403
34%,southbound,pirates,12/1403
44%,southbound,kraken,12/1403
19%,northbound,pirates,12/1403
14%,northbound,pirates,12/1403
100%+,southbound,unknown,12/1403
92%,southbound,demon whale,12/1403
27%,northbound,sharks,12/1403
68%,southbound,kraken,12/1403
17%,northbound,pirates,12/1403
75%,northbound,water elemental,12/1403
26%,northbound,crabmonsters,12/1403
11%,northbound,harpy,12/1403
12%,southbound,pirates,12/1403
83%,northbound,nessie,12/1403
67%,northbound,merpeople,12/1403
46%,northbound,sharks,12/1403
33%,northbound,sharks,12/1403
16%,southbound,sharks,12/1403
58%,southbound,merpeople,12/1403
85%,southbound,merpeople,12/1403
55%,northbound,kraken,12/1403
20%,northbound,sharks,12/1403
18%,northbound,sharks,12/1403
21%,southbound,sharks,12/1403
83%,southbound,water elemental,12/1403
65%,northbound,kraken,12/1403
89%,northbound,nessie,12/1403
50%,northbound,kraken,12/1403
34%,northbound,pirates,12/1403
20%,northbound,pirates,12/1403
56%,northbound,kraken,12/1403
36%,southbound,sharks,12/1403
32%,southbound,merpeople,12/1403
17%,southbound,pirates,12/1403
19%,northbound,pirates,12/1403
7%,northbound,harpy,12/1403
63%,southbound,kraken,12/1403
11%,northbound,pirates,12/1403
75%,southbound,water elemental,12/1403
22%,southbound,pirates,12/1403
33%,northbound,sharks,12/1403
63%,southbound,kraken,12/1403
52%,northbound,kraken,12/1403
14%,southbound,pirates,12/1403
9%,northbound,pirates,12/1403
29%,northbound,merpeople,12/1403
22%,southbound,sharks,12/1403
64%,northbound,merpeople,12/1403
93%,northbound,demon whale,12/1403
10%,northbound,harpy,12/1403
28%,northbound,pirates,12/1403
56%,southbound,kraken,12/1403
40%,southbound,pirates,12/1403
24%,southbound,sharks,12/1403
22%,southbound,pirates,12/1403
55%,southbound,merpeople,12/1403
15%,southbound,pirates,12/1403
83%,southbound,water elemental,12/1403
41%,southbound,pirates,12/1403
27%,southbound,sharks,12/1403
100%+,southbound,unknown,12/1403
21%,southbound,pirates,12/1403
35%,northbound,sharks,12/1403
68%,northbound,merpeople,12/1403
17%,southbound,harpy,12/1403
67%,northbound,merpeople,12/1403
81%,southbound,water elemental,12/1403
42%,northbound,pirates,12/1403
18%,southbound,pirates,12/1403
27%,northbound,pirates,12/1403
28%,northbound,sharks,12/1403
35%,northbound,sharks,12/1403
82%,southbound,water elemental,12/1403
22%,northbound,harpy,12/1403
64%,southbound,kraken,12/1403
42%,southbound,kraken,12/1403
23%,southbound,merpeople,12/1403
28%,southbound,sharks,12/1403
7%,northbound,harpy,12/1403
15%,southbound,pirates,12/1403
13%,southbound,sharks,12/1403
63%,southbound,crabmonsters,12/1403
13%,southbound,pirates,12/1403
53%,southbound,merpeople,12/1403
94%,southbound,nessie,12/1403
83%,northbound,nessie,12/1403
21%,southbound,sharks,12/1403
12%,southbound,pirates,12/1403
7%,southbound,harpy,12/1403
100%+,southbound,unknown,12/1403
25%,northbound,sharks,12/1403
100%+,northbound,unknown,12/1403
17%,southbound,pirates,12/1403
83%,northbound,merpeople,12/1403
14%,northbound,sharks,12/1403
56%,southbound,kraken,12/1403
66%,southbound,merpeople,12/1403
23%,southbound,merpeople,12/1403
17%,northbound,pirates,12/1403
10%,southbound,sharks,12/1403
100%+,southbound,unknown,12/1403
24%,northbound,pirates,12/1403
36%,southbound,sharks,12/1403
16%,northbound,pirates,12/1403
78%,southbound,water elemental,12/1403
34%,southbound,sharks,12/1403
18%,northbound,pirates,12/1403
84%,northbound,water elemental,12/1403
14%,southbound,pirates,12/1403
21%,northbound,sharks,12/1403
23%,northbound,pirates,12/1403
15%,northbound,crabmonsters,12/1403
82%,southbound,nessie,12/1403
77%,northbound,water elemental,12/1403
82%,northbound,merpeople,12/1403
48%,southbound,merpeople,12/1403
88%,southbound,nessie,12/1403
28%,northbound,sharks,12/1403
20%,northbound,sharks,12/1403
100%+,northbound,unknown,12/1403
100%+,northbound,unknown,12/1403
30%,southbound,sharks,12/1403
9%,southbound,sharks,12/1403
33%,northbound,sharks,12/1403
79%,southbound,water elemental,12/1403
84%,southbound,water elemental,12/1403
84%,northbound,water elemental,12/1403
19%,northbound,pirates,12/1403
16%,southbound,sharks,12/1403
100%+,northbound,unknown,12/1403
100%+,northbound,unknown,12/1403
20%,southbound,harpy,12/1403
84%,southbound,nessie,12/1403
40%,northbound,sharks,12/1403
25%,northbound,pirates,12/1403
77%,southbound,nessie,12/1403
100%+,northbound,unknown,12/1403
34%,northbound,sharks,12/1403
25%,southbound,pirates,12/1403
21%,northbound,sharks,12/1403
57%,southbound,crabmonsters,12/1403
24%,northbound,pirates,12/1403
19%,southbound,harpy,12/1403
10%,northbound,pirates,12/1403
57%,northbound,merpeople,12/1403
82%,southbound,water elemental,12/1403
38%,southbound,sharks,12/1403
58%,southbound,kraken,12/1403
100%+,southbound,unknown,12/1403
22%,southbound,pirates,12/1403
100%+,northbound,unknown,12/1403
100%+,northbound,unknown,12/1403
75%,southbound,water elemental,12/1403
29%,northbound,merpeople,12/1403
28%,southbound,sharks,12/1403
14%,southbound,pirates,12/1403
100%+,northbound,unknown,12/1403
14%,southbound,pirates,12/1403
33%,southbound,sharks,12/1403
70%,northbound,merpeople,12/1403
16%,southbound,pirates,12/1403
14%,northbound,pirates,12/1403
80%,southbound,nessie,12/1403
100%+,southbound,unknown,12/1403
45%,southbound,crabmonsters,12/1403
38%,southbound,sharks,12/1403
20%,southbound,sharks,12/1403
18%,northbound,pirates,12/1403
85%,northbound,water elemental,12/1403
39%,northbound,sharks,12/1403
50%,northbound,merpeople,12/1403
16%,northbound,sharks,12/1403
25%,northbound,sharks,12/1403
17%,northbound,crabmonsters,12/1403
33%,northbound,sharks,12/1403
20%,southbound,pirates,12/1403
23%,northbound,sharks,12/1403
29%,southbound,crabmonsters,12/1403
57%,northbound,kraken,12/1403
58%,southbound,kraken,1/1404
46%,northbound,merpeople,1/1404
40%,southbound,merpeople,1/1404
42%,northbound,pirates,1/1404
18%,northbound,sharks,1/1404
9%,northbound,harpy,1/1404
100%+,southbound,unknown,1/1404
9%,northbound,pirates,1/1404
50%,northbound,merpeople,1/1404
18%,northbound,sharks,1/1404
45%,southbound,sharks,1/1404
21%,southbound,harpy,1/1404
62%,southbound,kraken,1/1404
82%,southbound,water elemental,1/1404
46%,northbound,merpeople,1/1404
42%,southbound,pirates,1/1404
36%,northbound,sharks,1/1404
100%+,northbound,unknown,1/1404
96%,northbound,merpeople,1/1404
82%,northbound,water elemental,1/1404
47%,southbound,kraken,1/1404
86%,southbound,merpeople,1/1404
21%,southbound,merpeople,1/1404
19%,northbound,pirates,1/1404
17%,northbound,pirates,1/1404
31%,southbound,sharks,1/1404
33%,northbound,sharks,1/1404
29%,southbound,crabmonsters,1/1404
16%,southbound,pirates,1/1404
16%,southbound,pirates,1/1404
65%,southbound,merpeople,1/1404
28%,southbound,sharks,1/1404
100%+,northbound,unknown,1/1404
6%,southbound,harpy,1/1404
100%+,northbound,unknown,1/1404
74%,southbound,water elemental,1/1404
8%,southbound,harpy,1/1404
6%,northbound,crabmonsters,1/1404
17%,southbound,pirates,1/1404
24%,northbound,sharks,1/1404
93%,northbound,nessie,1/1404
96%,southbound,demon whale,1/1404
22%,northbound,pirates,1/1404
74%,southbound,water elemental,1/1404
32%,northbound,kraken,1/1404
65%,southbound,merpeople,1/1404
12%,southbound,harpy,1/1404
12%,northbound,pirates,1/1404
59%,southbound,kraken,1/1404
27%,northbound,sharks,1/1404
64%,northbound,kraken,1/1404
31%,northbound,sharks,1/1404
2%,northbound,crabmonsters,1/1404
25%,northbound,pirates,1/1404
79%,northbound,water elemental,1/1404
17%,northbound,pirates,1/1404
81%,southbound,water elemental,1/1404
23%,northbound,pirates,1/1404
21%,northbound,merpeople,1/1404
18%,southbound,harpy,1/1404
5%,southbound,harpy,1/1404
16%,southbound,sharks,1/1404
14%,southbound,pirates,1/1404
17%,southbound,pirates,1/1404
63%,southbound,merpeople,1/1404
22%,southbound,pirates,1/1404
19%,southbound,crabmonsters,1/1404
15%,southbound,harpy,1/1404
100%+,northbound,unknown,1/1404
24%,southbound,pirates,1/1404
100%+,southbound,unknown,1/1404
21%,northbound,sharks,1/1404
100%+,northbound,unknown,1/1404
31%,northbound,merpeople,1/1404
35%,northbound,sharks,1/1404
75%,southbound,water elemental,1/1404
45%,northbound,sharks,1/1404
24%,northbound,pirates,1/1404
100%+,southbound,unknown,1/1404
19%,northbound,sharks,1/1404
90%,northbound,nessie,1/1404
31%,northbound,crabmonsters,1/1404
58%,southbound,kraken,1/1404
24%,southbound,sharks,1/1404
7%,southbound,harpy,1/1404
45%,southbound,merpeople,1/1404
100%+,northbound,unknown,1/1404
14%,northbound,pirates,1/1404
22%,northbound,sharks,1/1404
59%,southbound,kraken,1/1404
38%,southbound,kraken,1/1404
76%,northbound,water elemental,1/1404
53%,southbound,kraken,1/1404
100%+,southbound,unknown,1/1404
85%,northbound,water elemental,1/1404
85%,northbound,nessie,1/1404
16%,southbound,sharks,1/1404
20%,northbound,harpy,1/1404
57%,southbound,kraken,1/1404
19%,northbound,sharks,1/1404
16%,northbound,pirates,1/1404
17%,southbound,sharks,1/1404
25%,northbound,pirates,1/1404
33%,southbound,merpeople,1/1404
100%+,southbound,unknown,1/1404
55%,northbound,crabmonsters,1/1404
14%,southbound,pirates,1/1404
46%,southbound,merpeople,1/1404
17%,southbound,pirates,1/1404
97%,southbound,demon whale,1/1404
60%,northbound,kraken,1/1404
35%,southbound,merpeople,1/1404
75%,northbound,water elemental,1/1404
17%,northbound,sharks,1/1404
100%+,northbound,unknown,1/1404
10%,northbound,merpeople,1/1404
78%,northbound,merpeople,1/1404
13%,southbound,sharks,1/1404
22%,northbound,pirates,1/1404
16%,northbound,sharks,1/1404
100%+,northbound,unknown,1/1404
100%+,northbound,unknown,1/1404
26%,southbound,sharks,1/1404
14%,southbound,pirates,1/1404
13%,southbound,harpy,1/1404
10%,northbound,harpy,1/1404
42%,northbound,merpeople,1/1404
19%,southbound,sharks,1/1404
11%,northbound,pirates,1/1404
34%,southbound,pirates,1/1404
3%,northbound,crabmonsters,1/1404
100%+,southbound,unknown,1/1404
16%,southbound,pirates,1/1404
10%,southbound,harpy,1/1404
23%,northbound,sharks,1/1404
54%,southbound,kraken,1/1404
100%+,southbound,unknown,1/1404
5%,southbound,crabmonsters,1/1404
24%,southbound,pirates,1/1404
63%,northbound,kraken,1/1404
34%,southbound,sharks,1/1404
43%,southbound,sharks,1/1404
13%,northbound,sharks,1/1404
71%,northbound,merpeople,1/1404
83%,northbound,water elemental,1/1404
16%,southbound,pirates,1/1404
23%,southbound,sharks,1/1404
77%,northbound,water elemental,1/1404
22%,northbound,crabmonsters,1/1404
71%,southbound,merpeople,1/1404
14%,northbound,harpy,1/1404
59%,southbound,kraken,1/1404
14%,southbound,harpy,1/1404
10%,northbound,pirates,1/1404
17%,northbound,harpy,1/1404
60%,southbound,kraken,1/1404
84%,southbound,nessie,1/1404
30%,southbound,merpeople,1/1404
12%,southbound,pirates,1/1404
100%+,northbound,unknown,1/1404
17%,southbound,pirates,1/1404
43%,northbound,kraken,1/1404
33%,northbound,sharks,1/1404
98%,northbound,demon whale,1/1404
20%,southbound,harpy,1/1404
78%,southbound,nessie,1/1404
69%,southbound,kraken,1/1404
16%,northbound,pirates,1/1404
54%,northbound,kraken,1/1404
58%,southbound,kraken,1/1404
39%,southbound,merpeople,1/1404
40%,southbound,kraken,1/1404
78%,southbound,water elemental,1/1404
25%,northbound,pirates,1/1404
19%,northbound,harpy,1/1404
75%,southbound,kraken,1/1404
12%,southbound,harpy,1/1404
60%,northbound,merpeople,1/1404
91%,southbound,crabmonsters,1/1404
64%,northbound,crabmonsters,1/1404
33%,southbound,sharks,1/1404
42%,southbound,sharks,1/1404
55%,southbound,kraken,1/1404
100%+,southbound,unknown,1/1404
68%,northbound,merpeople,1/1404
53%,northbound,kraken,1/1404
4%,southbound,harpy,1/1404
49%,northbound,kraken,1/1404
85%,northbound,crabmonsters,1/1404
97%,southbound,demon whale,1/1404
100%+,northbound,unknown,1/1404
21%,northbound,pirates,2/1404
22%,southbound,pirates,2/1404
77%,northbound,water elemental,2/1404
82%,northbound,water elemental,2/1404
57%,northbound,merpeople,2/1404
45%,southbound,merpeople,2/1404
22%,northbound,pirates,2/1404
20%,southbound,pirates,2/1404
49%,northbound,merpeople,2/1404
7%,northbound,sharks,2/1404
78%,southbound,water elemental,2/1404
49%,northbound,kraken,2/1404
8%,southbound,harpy,2/1404
32%,northbound,merpeople,2/1404
100%+,northbound,unknown,2/1404
34%,northbound,pirates,2/1404
41%,northbound,pirates,2/1404
92%,northbound,nessie,2/1404
21%,southbound,sharks,2/1404
13%,southbound,sharks,2/1404
50%,northbound,kraken,2/1404
9%,southbound,crabmonsters,2/1404
73%,southbound,kraken,2/1404
40%,northbound,kraken,2/1404
100%+,southbound,unknown,2/1404
100%+,southbound,unknown,2/1404
20%,northbound,pirates,2/1404
43%,northbound,merpeople,2/1404
19%,northbound,pirates,2/1404
30%,southbound,sharks,2/1404
19%,southbound,pirates,2/1404
88%,southbound,nessie,2/1404
80%,northbound,water elemental,2/1404
100%+,northbound,unknown,2/1404
14%,northbound,sharks,2/1404
80%,southbound,water elemental,2/1404
19%,northbound,pirates,2/1404
83%,southbound,nessie,2/1404
90%,northbound,merpeople,2/1404
24%,southbound,pirates,2/1404
100%+,northbound,unknown,2/1404
94%,southbound,nessie,2/1404
21%,northbound,merpeople,2/1404
36%,northbound,crabmonsters,2/1404
31%,southbound,pirates,2/1404
54%,northbound,kraken,2/1404
30%,northbound,sharks,2/1404
7%,northbound,harpy,2/1404
21%,northbound,pirates,2/1404
26%,southbound,pirates,2/1404
59%,northbound,merpeople,2/1404
8%,northbound,harpy,2/1404
100%+,southbound,unknown,2/1404
14%,northbound,crabmonsters,2/1404
35%,northbound,sharks,2/1404
58%,northbound,merpeople,2/1404
25%,northbound,sharks,2/1404
52%,southbound,kraken,2/1404
75%,northbound,water elemental,2/1404
21%,southbound,sharks,2/1404
15%,northbound,pirates,2/1404
13%,northbound,harpy,2/1404
18%,southbound,pirates,2/1404
65%,southbound,kraken,2/1404
57%,northbound,kraken,2/1404
15%,southbound,harpy,2/1404
18%,southbound,pirates,2/1404
22%,northbound,sharks,2/1404
30%,southbound,sharks,2/1404
20%,northbound,pirates,2/1404
74%,northbound,water elemental,2/1404
33%,northbound,pirates,2/1404
14%,northbound,sharks,2/1404
17%,northbound,pirates,2/1404
16%,southbound,harpy,2/1404
17%,northbound,sharks,2/1404
17%,northbound,sharks,2/1404
77%,southbound,water elemental,2/1404
24%,southbound,sharks,2/1404
34%,southbound,merpeople,2/1404
21%,southbound,harpy,2/1404
20%,northbound,pirates,2/1404
18%,northbound,sharks,2/1404
44%,northbound,kraken,2/1404
22%,northbound,pirates,2/1404
89%,northbound,nessie,2/1404
53%,northbound,kraken,2/1404
13%,southbound,pirates,2/1404
18%,southbound,sharks,2/1404
86%,southbound,crabmonsters,2/1404
76%,southbound,water elemental,2/1404
28%,southbound,sharks,2/1404
98%,southbound,nessie,2/1404
78%,northbound,water elemental,2/1404
47%,northbound,merpeople,2/1404
63%,southbound,kraken,2/1404
33%,northbound,sharks,2/1404
100%+,northbound,unknown,2/1404
53%,northbound,kraken,2/1404
20%,southbound,sharks,2/1404
8%,southbound,harpy,2/1404
15%,southbound,sharks,2/1404
62%,northbound,merpeople,2/1404
16%,northbound,harpy,2/1404
24%,northbound,sharks,2/1404
30%,southbound,sharks,2/1404
17%,southbound,pirates,2/1404
52%,northbound,pirates,2/1404
29%,southbound,sharks,2/1404
31%,northbound,sharks,2/1404
82%,southbound,water elemental,2/1404
31%,southbound,sharks,2/1404
1%,northbound,crabmonsters,2/1404
53%,northbound,kraken,2/1404
59%,southbound,merpeople,2/1404
46%,southbound,merpeople,2/1404
46%,northbound,kraken,2/1404
100%+,northbound,unknown,2/1404
66%,northbound,merpeople,2/1404
39%,southbound,merpeople,2/1404
50%,southbound,pirates,2/1404
34%,southbound,merpeople,2/1404
25%,southbound,sharks,2/1404
80%,southbound,water elemental,2/1404
18%,southbound,pirates,2/1404
25%,northbound,sharks,2/1404
100%+,northbound,unknown,2/1404
82%,northbound,water elemental,2/1404
43%,southbound,merpeople,2/1404
18%,northbound,merpeople,2/1404
20%,northbound,sharks,2/1404
96%,northbound,demon whale,2/1404
21%,northbound,sharks,2/1404
58%,northbound,kraken,2/1404
6%,northbound,pirates,2/1404
11%,northbound,crabmonsters,2/1404
74%,southbound,crabmonsters,2/1404
17%,southbound,sharks,2/1404
7%,northbound,crabmonsters,2/1404
27%,southbound,merpeople,2/1404
73%,southbound,nessie,2/1404
100%+,southbound,unknown,2/1404
100%+,southbound,unknown,2/1404
14%,northbound,pirates,2/1404
38%,northbound,merpeople,2/1404
42%,southbound,sharks,2/1404
20%,northbound,pirates,2/1404
24%,southbound,sharks,2/1404
100%+,northbound,unknown,2/1404
58%,southbound,kraken,2/1404
100%+,southbound,unknown,2/1404
19%,southbound,crabmonsters,2/1404
30%,northbound,merpeople,2/1404
17%,northbound,pirates,2/1404
95%,northbound,nessie,2/1404
16%,southbound,sharks,2/1404
43%,southbound,pirates,2/1404
80%,northbound,water elemental,2/1404
21%,southbound,pirates,2/1404
100%+,southbound,unknown,2/1404
57%,southbound,merpeople,2/1404
75%,southbound,nessie,2/1404
15%,northbound,pirates,2/1404
21%,southbound,pirates,2/1404
65%,southbound,kraken,2/1404
14%,southbound,harpy,2/1404
30%,southbound,sharks,2/1404
100%+,northbound,unknown,2/1404
19%,southbound,pirates,2/1404
22%,northbound,pirates,2/1404
80%,southbound,water elemental,2/1404
12%,northbound,sharks,2/1404
59%,southbound,merpeople,2/1404
14%,northbound,pirates,2/1404
90%,southbound,nessie,2/1404
46%,northbound,merpeople,2/1404
84%,southbound,water elemental,2/1404
84%,northbound,water elemental,2/1404
100%+,northbound,unknown,2/1404
48%,southbound,pirates,2/1404
17%,southbound,pirates,2/1404
46%,northbound,merpeople,2/1404
37%,northbound,sharks,2/1404
82%,southbound,merpeople,2/1404
14%,southbound,pirates,2/1404
29%,southbound,pirates,2/1404
25%,southbound,pirates,3/1404
14%,northbound,harpy,3/1404
14%,southbound,pirates,3/1404
45%,southbound,pirates,3/1404
27%,southbound,sharks,3/1404
17%,northbound,pirates,3/1404
53%,northbound,merpeople,3/1404
19%,northbound,pirates,3/1404
35%,southbound,merpeople,3/1404
81%,southbound,water elemental,3/1404
40%,northbound,sharks,3/1404
74%,northbound,water elemental,3/1404
63%,northbound,kraken,3/1404
100%+,northbound,unknown,3/1404
90%,northbound,nessie,3/1404
65%,northbound,kraken,3/1404
100%+,northbound,unknown,3/1404
79%,southbound,water elemental,3/1404
59%,southbound,merpeople,3/1404
31%,southbound,merpeople,3/1404
100%+,northbound,unknown,3/1404
56%,southbound,pirates,3/1404
15%,northbound,pirates,3/1404
82%,southbound,nessie,3/1404
23%,southbound,sharks,3/1404
77%,southbound,water elemental,3/1404
21%,northbound,pirates,3/1404
23%,northbound,sharks,3/1404
62%,southbound,merpeople,3/1404
52%,southbound,kraken,3/1404
15%,southbound,harpy,3/1404
48%,northbound,kraken,3/1404
35%,southbound,sharks,3/1404
100%+,southbound,unknown,3/1404
13%,northbound,pirates,3/1404
28%,northbound,sharks,3/1404
11%,southbound,harpy,3/1404
36%,northbound,merpeople,3/1404
21%,southbound,sharks,3/1404
46%,southbound,merpeople,3/1404
16%,northbound,pirates,3/1404
50%,southbound,pirates,3/1404
25%,southbound,pirates,3/1404
37%,southbound,sharks,3/1404
28%,southbound,sharks,3/1404
18%,southbound,sharks,3/1404
52%,southbound,merpeople,3/1404
18%,southbound,pirates,3/1404
14%,northbound,harpy,3/1404
